_Id	_CreationDate	_PostId	_RelatedPostId	_LinkTypeId
38982	2018-02-16T22:31:56.833	5043	4532	1
39199	2018-02-18T16:53:02.973	5348	4464	1
39349	2018-02-19T17:26:40.353	4643	4581	1
39537	2018-02-20T05:47:03.980	5325	4629	1
40816	2018-03-01T13:26:29.477	5475	2980	1
41400	2018-03-05T12:58:43.960	5493	3964	1
41401	2018-03-05T12:58:43.960	5493	2526	1
41653	2018-03-07T07:19:47.700	2526	5493	1
41855	2018-03-09T08:34:46.450	5589	4509	1
41856	2018-03-09T08:34:46.450	5589	4464	1
41857	2018-03-09T08:34:46.450	5589	5338	1
41858	2018-03-09T08:42:47.943	5589	3374	1
41864	2018-03-09T10:45:31.297	5601	5493	1
41897	2018-03-09T18:33:47.850	5587	5575	3
41904	2018-03-09T19:38:09.620	3374	2236	1
41905	2018-03-09T19:38:09.620	3374	3494	1
41916	2018-03-09T19:54:32.897	5593	2236	1
41917	2018-03-09T19:54:32.897	5593	3494	1
41949	2018-03-10T02:41:02.310	5606	3962	1
42190	2018-03-11T18:24:44.683	5636	3374	1
42282	2018-03-12T18:39:58.360	5649	3374	1
42316	2018-03-12T19:21:21.287	5636	4933	1
42391	2018-03-13T05:20:24.997	5636	3374	3
42643	2018-03-14T21:53:29.303	5649	4796	3
45021	2018-03-25T22:17:45.957	5799	2863	1
46374	2018-03-30T18:29:55.530	5839	5496	1
46385	2018-03-30T19:07:54.197	5840	5838	1
46386	2018-03-30T19:07:54.197	5840	4859	1
46772	2018-04-01T21:12:00.103	5861	5728	1
47349	2018-04-04T01:52:15.150	5885	5258	1
47616	2018-04-05T03:04:57.690	5901	5801	1
47750	2018-04-05T13:11:29.407	5493	5601	1
49484	2018-04-12T03:12:54.750	54	3847	1
49922	2018-04-14T04:46:39.597	6040	92	1
50160	2018-04-15T09:08:54.453	6042	2727	1
50161	2018-04-15T09:08:54.453	6042	3962	1
50338	2018-04-16T03:21:26.130	6072	3374	1
51147	2018-04-19T11:59:00.317	6119	6118	1
